Acronym,Meaning
0D , obvious deed
1AM , Air Mechanic 1st Class
1D , One
2AM , Air Mechanic 2nd Class
2D ,  Two
2G ,  Second
2LA , Two Letter Acronym
2Lt , 2nd Lieutenant
3AM , Air Mechanic 3rd Class
3D ,  Three
3G ,  Third
3i ,  Investors In Industry (venture capitalists)
3M ,  Minnesota Mining and Manufacturing Company
4D ,  Four
4G ,  Fourth
4GL ,  Fourth
4WD ,  Four
5D , Five
6D , Six
7D , Seven
8D , Eight
9D , Nine
\a ,  Atto
A ,  Ampere
A1C , Airman First Class
A4 ," many, including a European standard office paper size; see entry"
A10 ,  Atlantic 10 Conference
aa ,  Afar language (ISO 639
aA ,  Attoampere
AA," achieved availability,Alcoholics Anonymous, Armed Forces Americas (postal symbol),Aruba (FIPS 10"
AAA," administration, authorization, and authentication,American Automobile Association (""Triple"
AAAI ,"  Association for the Advancement of Artificial Intelligence, formerly American Association for Artificial Intelligence"
AAAS ,  American Association for the Advancement of Science
AAAV ,  Advanced Amphibious Assault Vehicle
AAC," American Athletic Conference,Army Air Corps (British Army)"
AAD, analogue
AADD , Adult attention deficit disorder
AADT ,  annual average daily traffic
AADAC ,  Alberta Alcohol and Drug Abuse Commission
AADC," area air defense commander, amino acid decarboxylase, aromatic L"
AAFC, U.S. Army Air Corps Ferrying Command (1941
AAFES ,  Army and Air Force Exchange Service
AAI ,  applied artificial intelligence
AAIS ,  advanced airborne interceptor simulator
AAM ,  air
AAMOF ,  as a matter of fact
AAN ,  American Academy of Nursing
AANEAS ,  Anglo
AAODL ,  Atmospheric Aerosols and Optics Data Library
AAP," advanced acquisition plan,Allied administrative publication,American Academy of Pediatrics"
AAPC ,  Accounting and Auditing Policy Committee
aar ,  Afar language (ISO 639
AAR, after
AARP , (i/s) American Association of Retired Persons (now officially known only by the initials)
AAS," Advanced Automation System,American Astronomical Society (""double"
AASPEM ,  advanced air
AAT ,  Australian Antarctic Territory
AAV ,  Amphibious Assault Vehicle
AAWC ,  anti
ab ,  Abkhaz language (ISO 639
AB," Able Seaman (both the rank and the occupation), Alberta (postal symbol)"
ABA," Adriatic Basketball Association,American Bar Association,American Basketball Association,American Beverage Association,American Bicycle Association,American Birding Association,Australian Broadcasting Authority"
ABB ,  ASEA Brown Boveri (Swiss
ABBA ,"  Agnetha, Benny, Björn, Anni"
ABC," abstinence, be faithful, condoms,Active Body Control,airway, breathing, circulation (see CPR),Alcoholic Beverage Commission,alien big cat,always be careful,American Bird Conservancy,American"
ABCA," American, British and Canadian Armies (originally),Army Bureau of Current Affairs"
ABCS ,  (U.S.) Army Battle Command System
ABET ,  Accreditation Board for Engineering and Technology
ABFIST ,  Advanced Bradley Full Crew Interactive Skills Trainer
ABGI ,  Addington
ABIN ,  Agência Brasileira de Inteligência (Brazilian Intelligence Agency)
abk ,  Abkhaz language (ISO 639
ABL ,  American Basketball League
ABLE ,  AirBorne Law Enforcement (police air support unit)
ABM ,  anti
ABMC ,  American Battle Monuments Commission
ABN ,  Australian Business Number (a number issued by the Australian government as registration of a business and used for taxation purposes)
ABPI ,  Association of the British Pharmaceutical Industry
ABRSM ,  Associated Board of the Royal Schools of Music
ABS," acrylonitrile butadiene styrene,anti"
ABSA ,"  Amalgamated Banks of South Africa (""ab"
ABSTRIPS ,  abstraction
ABV ,  Alcohol by volume
ABW ,  Aruba (ISO 3166 trigram)
aC ,  Attocoulomb
Ac ,  Actinium
AC, Adriamycin
AC1 , Aircraftman 1st Class
AC2 , Aircraftman 2nd Class
ACA,"Affordable Care Act, shorthand for the Patient Protection and Affordable Care Act, commonly called ""Obamacare"", Airspace Control Authority,Airspace Co"
ACARS ,  Aircraft Communications Addressing and Reporting System
